-1.2494,2.97
-2.7861,3.08
0.46212,3.47
-1.3497,5
0.18,4.9
1.137,6.54
-0.095109,3.85
-0.78815,2.25
-2.1365,2.95
0.33032,2.79
0.13749,3.95
-0.91407,2.9
1.4156,2.24
-0.52945,2.51
-2.4533,8.14
-1.5196,6.87
-1.3823,2.07
-1.5196,4.69
-0.35206,2.27
-1.5931,1.32
-3.6077,3.54
-0.94007,5.3
0.55671,3.12
-0.99296,3.69
-1.5196,1.48
1.137,3.51
-1.7942,5.63
-3.4199,4.69
-3.2603,2.27
0.22267,5.28
-1.7942,3.66
0.052811,3.9
-0.69156,2.85
-3.2603,3.89
-1.7942,5.17
-1.7104,4.88
-2.0818,7.64
0.4178,3.76
-2.6078,1.2
-1.0472,1.97
0.8178,1.76
-2.6078,7.73
-1.7104,2.87
0.30866,5.17
1.4842,2.77
-1.0748,5.23
-3.4199,1.29
2.0818,3.84
-1.1601,4.98
-0.095109,5.03
-2.1365,6.99
-1.4495,4.65
-1.4495,3.05
-0.52945,5.5
1.2251,4.85
-2.6935,2.79
-1.9303,3
0.64911,2.61
0.39579,3.11
-2.7861,1.68
-1.4842,2.09
-1.4842,8.51
3.6077,2.4
-2.887,4.48
-0.86294,5.3
-1.4842,2.22
-1.1313,9.05
-1.0748,2.97
3.1213,1.74
0.52945,5.45
-1.7942,3.89
-0.20131,3.32
-0.39579,2.58
-1.7104,2.65
0.35206,5.1
-2.6935,11.12
-1.0199,3.12
-1.6311,4.48
0.18,3.03
-1.5196,6.77
-0.37388,4.46
-0.69156,2.54
0.89349,2.72
-0.86294,3.14
-0.99296,2.16
0.073951,2.57
0.48444,1.87
-3.4199,4.52
-3.4199,5.07
-3.2603,5.9
-3.1213,2.91
-2.6078,3.48
0.22267,7.6
-0.031682,5.47
-0.94007,5.37
0.18,3.62
-0.99296,4.67
0.97165,4.11
-1.8834,4.29
0.69632,4.27
-1.7104,6.79
0.39579,4.48
-1.4495,5.37
-1.4495,3.39
-3.2603,3.04
-0.73944,2.77
-1.4842,4.14
-3.8362,2.88
-1.5196,5.05
-3.4199,7.14
-3.6077,2.32
-1.2494,4.49
-1.1028,3.24
-0.81284,4.56
-1.4156,4.75
-3.6077,3.17
-1.7517,3.57
-3.6077,3.82
-1.4495,3.42
-1.5196,4.74
-0.26554,3.75
-1.1601,3.23
0.52945,5.85
1.4495,3.18
0.39579,4.09
-0.86294,3.96
-1.8381,2.91
-1.8834,3.32
-1.1894,2.94
-0.62113,1.74
1.7517,2.93
0.69632,3.26
-0.11629,2.58
-1.8834,6.16
-3.8362,7.83
-3.6077,7.7
-1.5196,8.74
2.6935,7.45
-1.1601,2.94
-0.28707,4.57
-0.43991,5.23
-1.6311,4.28
-1.0472,5.69
-0.15873,8.98
-0.13749,6.55
-1.7104,3.69
1.3823,3.72
0.79307,2.48
3.6077,1.83
-3.8362,4.84
1.3177,6.83
-1.5559,4.16
-1.3114,4.08
-1.0199,1.94
-2.0293,3.52
-0.15873,2.95
-3.8362,2.56
-0.83776,5.1
-2.887,6.3
-0.78815,2.22
-0.48444,5.45
-2.1937,4.97
-1.6702,6.98
-0.20131,4.67
-1.4842,4.67
-1.4842,0.68
-1.8381,2.16
-0.43991,3.19
3.2603,4.63
-0.26554,3.12
0.18,2.44
-2.528,5.22
-0.66791,4.72
-2.998,4.12
-3.1213,2.64
-2.4533,7.63
-3.1213,4.55
-1.1894,1.93
-3.1213,3.83
-3.2603,4.68
-1.6702,2.66
-2.383,6.67
-1.6311,4.59
-0.50689,3.84
-3.1213,10.76
-3.6077,2.93
-1.2494,6.98
-1.1894,0.81
-2.0293,2.45
2.1937,4.99
-0.052811,2.21
0.48444,2.51
-1.9789,4.46
-3.4199,3.11
1.4156,2.15
-3.2603,4.83
-0.69156,2.12
-1.2801,1.92
-2.3166,3.97
-0.96636,3.84
-2.0293,4.2
-2.528,5.21
-0.91407,5.12
-2.0293,2.96
-0.78815,2.85
-0.46212,2.71
2.3166,7.03
0.20131,10.85
-0.01056,3.45
-0.73944,8.06
-3.6077,4.28
-2.4533,3.41
-1.7942,3.69
-1.0199,1.73
1.5196,4.64
-0.64443,4.72
-3.1213,2.77
-3.8362,2.93
-1.1313,5.75
-1.3823,2.43
0.55671,5.05
-1.8381,7.72
-1.1313,8.09
-2.0818,4.35
-2.7861,3.44
-0.30866,5.03
-1.1313,1.95
-1.1601,1.95
0.18,3.91
-1.9303,2.77
-1.8834,4.74
-2.3166,1.42
-1.0748,10.75
-3.6077,2.15
-1.3823,2.54
-3.1213,2.56
-1.4495,2.74
0.13749,2.17
-3.1213,2.21
-2.7861,1.62
-1.1601,3.37
-2.1937,2.93
-1.9303,5.92
-2.7861,5.23
-1.3823,2.32
-1.0472,2.23
-1.0748,2
-0.28707,2.72
-1.4842,2.92
-1.6702,3.52
-1.6311,1.42
-1.1894,2.13
3.4199,7.77
0.79307,2.86
-0.81284,4.04
1.4842,3.31
1.3497,3.36
-2.6078,3.68
-3.8362,3.11
-0.37388,2.89
-0.86294,4.77
